"S.No","Dish / Product Name","Category","Price (₹)","MRP (₹)","Discount (%)","Unit / Serving","Kitchen Stock","Storefront Status","Menu Section Tags","Product ID","Category ID"
"26","Chili Paneer","Fruits & Vegetables","145","145","0","1 Plate","999","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi33m21000004jj1jm44pjh","cmqh1haw30000zcid4vj7i1yj"
"27","Chili Potato","Fruits & Vegetables","95","95","0","1 Plate","996","VISIBLE (ON)","chinese, chinese, chinese-cuisine, chinese cuisine, veg, restaurant, restaurant","cmqi2saaw000004l79ak7g2sr","cmqh1haw30000zcid4vj7i1yj"
"28","Choclate","Ice Cream","149","160","7","700 ml","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqvuusry000204ic8kxg6tb7","cmqgzqfv70007vkider7h6e4j"
"29","Choco Brownie Sundae ","Ice Cream","49","50","2","Qty 1","99995","VISIBLE (ON)","ice-cream, as-restaurant","cmqhfy8vg000004jji9091jk7","cmqgzqfv70007vkider7h6e4j"
"30","Choco Delight","Fruits & Vegetables","85","85","0","300 ml","999","VISIBLE (ON)","cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, restaurant","cmqhzjf0x000004l13sdhh9ws","cmqh1haw30000zcid4vj7i1yj"
"31","Choco Surprise ","Ice Cream","40","40","0","","99999","VISIBLE (ON)","ice-cream, desserts, as-restaurant, kulfi, cones","cmr11hgh0000104jpgkcfbgk0","cmqgzqfv70007vkider7h6e4j"
"32","Chocolate Shake","Fruits & Vegetables","90","90","0","300 ml","999","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhztm5k000004jud47mx8o0","cmqh1haw30000zcid4vj7i1yj"
"33","Classic Cold Coffee","Fruits & Vegetables","60","60","0","300ml","990","VISIBLE (ON)","shakes, shakes, shake, milkshake, milkshakes, veg, restaurant, restaurant","cmqhykgmz000004jucm99q59h","cmqh1haw30000zcid4vj7i1yj"
"34","Cookie Chips","Ice Cream","39","40","3","110 ml","0 (Sold Out)","HIDDEN (OFF)","ice-cream, desserts, as-restaurant, kulfi, cones","cmqhfoca3000004kzzeo89uce","cmqgzqfv70007vkider7h6e4j"
"35","Corn Cheeze Burger","Fruits & Vegetables","80","80","0","Qty 1","999","VISIBLE (ON)","burgers, burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, restaurant","cmqhv7a50000104jxa8x5anbw","cmqh1haw30000zcid4vj7i1yj"
"36","Corn Cheeze Garlic Bread","Fruits & Vegetables","105","105","0","Qty 1 (4 Pcs)","999","VISIBLE (ON)","garlic-bread, garlic-bread, garlic bread, garlic-breads, veg, restaurant, restaurant","cmqhxvnfr000004jxq2npqa3s","cmqh1haw30000zcid4vj7i1yj"
"37","Corn Cheeze Sandwitch","Fruits & Vegetables","90","90","0","Qty 1","999","VISIBLE (ON)","sandwiches, sandwiches, sandwich, veg, restaurant, restaurant","cmqhvw0f8000104i8i4549ujo","cmqh1haw30000zcid4vj7i1yj"
"38","Desi Style Pizza","Fruits & Vegetables","129","139","7","Qty 1","999","VISIBLE (ON)","pizza, restaurant","cmqhtemk7000004i6oc8bc5ee","cmqh1haw30000zcid4vj7i1yj"
"39","Extra Pav","Fruits & Vegetables","25","39","36","1 Pav ( 3Pcs)","999","VISIBLE (ON)","pav-bhaji, restaurant","cmqrr4sb4000104jy5bossral","cmqh1haw30000zcid4vj7i1yj"
"40","French Fries/ Finger","Fruits & Vegetables","50","50","0","1 Plate","997","VISIBLE (ON)","hot-bite, hot-bite, snacks, momos, veg, restaurant, restaurant","cmqi40nph000204l4doqm7pvl","cmqh1haw30000zcid4vj7i1yj"
"41","Green Apple Mojito","Fruits & Vegetables","80","80","0","300 ml","999","VISIBLE (ON)","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhz56ri000004juemwv5bqn","cmqh1haw30000zcid4vj7i1yj"
"42","Green Mint Mojito","Fruits & Vegetables","80","80","0","300 ml","999","VISIBLE (ON)","mocktails, mocktails, mocktail, coolers, cooler, mojito, veg, restaurant, restaurant","cmqhyzera000204juu848lxrz","cmqh1haw30000zcid4vj7i1yj"
