"S.No","Product ID","Product / Dish Name","Outlet / Type","Category Name","Category Slug","Price (₹)","MRP (₹)","Discount (%)","Unit","Stock","Storefront Status","Menu Tags","Restaurant ID","Category ID"
"18","cmqjdrdpt000004jsmk69y8tb","Chili Garlic Rice","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","95","95","0","","99999","ACTIVE (VISIBLE)","rice-dishes, rice dishes, rice-dish, rice dish, biryani, pulav, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"19","cmqi33m21000004jj1jm44pjh","Chili Paneer","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","135","179","25","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"20","cmqi2saaw000004l79ak7g2sr","Chili Potato","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","99","14","","99999","ACTIVE (VISIBLE)","chinese, chinese-cuisine, chinese cuisine, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"21","cmqhzjf0x000004l13sdhh9ws","Choco Delight","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","85","85","0","300 ml","999","ACTIVE (VISIBLE)","cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"22","cmqhztm5k000004jud47mx8o0","Chocolate Shake","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","300 ml","999","ACTIVE (VISIBLE)","shakes, shake, milkshake, milkshakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"23","cmqhykgmz000004jucm99q59h","Classic Cold Coffee","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","60","60","0","300ml","999","ACTIVE (VISIBLE)","cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"24","cmqhv7a50000104jxa8x5anbw","Corn Cheeze Burger","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","80","80","0","","99999","ACTIVE (VISIBLE)","burgers, burger, veg-burger, cheese-burger, paneer-burger, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"25","cmqhxvnfr000004jxq2npqa3s","Corn Cheeze Garlic Bread","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","105","105","0","4 Pcs","99999","ACTIVE (VISIBLE)","garlic-bread, garlic bread, garlic-breads, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"26","cmqhvw0f8000104i8i4549ujo","Corn Cheeze Sandwitch","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","90","90","0","","99999","ACTIVE (VISIBLE)","sandwiches, sandwich, veg, restaurant, as-restaurant, as, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
"27","cmqhtemk7000004i6oc8bc5ee","Desi Style Pizza","A.S. Restaurant","Fast Food & Restaurant Kitchen","restaurant-food","129","139","7","","99999","ACTIVE (VISIBLE)","pizza, restaurant, as-restaurant, as, veg, pure-veg","cms2p1lap0000n0id8alldboy","cmt59fuss0000tgidoc35458x"
