Product ID,Product Name,Category ID,Category Name,Category Slug,Outlet / Restaurant,Price (Rs),MRP (Rs),Discount (%),Unit,Stock,Is Available,Is Flash Deal,Is Best Seller,Tags,Image URL
"cmqhg9l74000004i9nnt8lhxb","Shahi Tukda","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",97,99,2,"250 ml",0,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554599/ye1h2fmolie8xi1dudcy.png"
"cmqhg55jp000304l47x2ncvoz","Strawberry","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",124,125,1,"700 ml",99999,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554632/rhskhydd4tgbl3rklzza.png"
"cmqhfzomx000004l4urg5mgm7","Strawberry Sundae","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",39,40,2,"Qty 1",0,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554640/si1phu17vnrh0vdqttst.png"
"cmqhfyxnn000104jjkijr9vrp","Super Duper Sundae","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",39,40,2,"Qty 1",0,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554594/uospendt6xou6cfqcuvx.png"
"cmqhg0k8u000004l4kdo9ugla","Trixy Brownie","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",29,30,3,"Qty 1",0,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554610/nj4d1fiinufl4y4q5oye.png"
"cmqhg5x4m000404l40ial07dy","Tuti Frutti","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",172,175,2,"700 ml",99998,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554668/dqsvcwllalch7ucfcxqn.png"
"cmqhg46kk000204l4en3571ef","Vanilla","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",99,100,1,"700 ml",99999,NO,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554639/mxnhuyfwpsymfitqfe5h.png"
"cmrubrdye000004jrq5gxgmkp","Vanilla cup","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",19,20,5,"1 Serving",99997,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554750/siyll9rk81h578lpwhd1.png"
"cmqhzcr2l000004icn0x4ex75","Vanilla Dream","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",85,85,0,"300 ml",999,YES,NO,NO,"cold-coffee, cold-coffee, cold coffee, iced coffee, iced-coffee, coldcoffee, shake, shakes, veg","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554753/tawvlecsxybueuaiej3f.png"
"cmqhfpzwg000104kzm5mvvtfb","Waaah Aam","cmqgzqfv70007vkider7h6e4j","Ice Cream & Desserts","ice-cream","FastKirana Darkstore (Grocery)",29,30,3,"Qty 1",0,YES,NO,NO,"ice-cream, desserts, kulfi, cones, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554700/v5pj81agq5tdjql5mjlt.png"
"cmqheox3i000504kz4kdyx8cs","Campa","cmqgzqfz20008vkidoycqg5u2","Beverages & Drinks","beverages","FastKirana Darkstore (Grocery)",20,20,0,"500 ml",999,YES,NO,NO,"beverages, chilled, drinks, soft-drink, grocery","https://res.cloudinary.com/dbf3lhk94/image/upload/v1785554654/ubobrhfp0tlltygbdym8.png"
